Espécie;Apreendidas;Data apreensão;Mês;Ano;UF Apreensão;Unidade Apreensão;Município;País de origem;Tipo Penal
Revólver;1;41311;fev;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Revólver;1;41311;fev;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Espingarda;1;41312;fev;2013;RO;DPF/JPN/RO;SERINGUEIRAS;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41314;fev;2013;PR;DPF/FIG/PR;FOZ DO IGUACU;Não identificado;Art. 18 Tráfico internacional de arma de fogo
Revólver;1;41316;fev;2013;SP;DEAIN/SR/SP;GUARULHOS;Estados Unidos da América;Art. 18 Tráfico internacional de arma de fogo
Espingarda;1;41319;fev;2013;AP;SR/PF/AP;FERREIRA GOMES;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Espingarda;1;41319;fev;2013;DF;SR/PF/DF;BRASILIA;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41320;fev;2013;MT;DPF/ROO/MT;RONDONOPOLIS;Brasil;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Pistola;1;41321;fev;2013;SP;DPF/SOD/SP;NI;Estados Unidos da América;Outra tipificação
Revólver;1;41321;fev;2013;SP;DPF/SOD/SP;NI;Brasil;Outra tipificação
Revólver;1;41321;fev;2013;SP;DPF/SOD/SP;NI;Brasil;Outra tipificação
Pistola;1;41324;fev;2013;SP;DPF/SOD/SP;NI;Brasil;Outra tipificação
Pistola;1;41324;fev;2013;SP;DPF/SOD/SP;NI;Brasil;Outra tipificação
Revólver;1;41324;fev;2013;SP;DPF/SOD/SP;NI;Brasil;Outra tipificação
Revólver;1;41324;fev;2013;SP;DPF/SOD/SP;NI;Não identificado;Outra tipificação
Pistola;1;41325;fev;2013;PR;DPF/FIG/PR;FOZ DO IGUACU;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41325;fev;2013;PR;DPF/FIG/PR;FOZ DO IGUACU;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41325;fev;2013;PR;DPF/FIG/PR;FOZ DO IGUACU;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41325;fev;2013;PR;DPF/FIG/PR;FOZ DO IGUACU;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41325;fev;2013;PR;DPF/FIG/PR;FOZ DO IGUACU;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41325;fev;2013;PR;DPF/FIG/PR;FOZ DO IGUACU;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41326;fev;2013;PR;DPF/LDA/PR;NI;Não identificado;Outra tipificação
Carabina;1;41327;fev;2013;RS;DPF/SMA/RS;NI;Israel;Outra tipificação
Pistola;1;41327;fev;2013;SP;DPF/AQA/SP;ALTINOPOLIS;Brasil;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Pistola;1;41327;fev;2013;TO;DPF/AGA/TO;WANDERLANDIA;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41327;fev;2013;TO;DPF/AGA/TO;WANDERLANDIA;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Espingarda;1;41332;fev;2013;PE;DPF/CRU/PE;RIACHO DAS ALMAS;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Espingarda;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41332;fev;2013;PR;DPF/FIG/PR;FOZ DO IGUACU;Estados Unidos da América;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41332;fev;2013;PE;SR/PF/PE;RECIFE;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Espingarda;1;41333;fev;2013;AC;SR/PF/AC;RIO BRANCO;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Espingarda;1;41333;fev;2013;BA;DPF/ILS/BA;ITABUNA;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Fuzil;1;41333;fev;2013;RJ;SR/PF/RJ;NI;Alemanha;Outra tipificação
Pistola;1;41333;fev;2013;MG;SR/PF/MG;BELO HORIZONTE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41333;fev;2013;PA;SR/PF/PA;NI;Estados Unidos da América;Outra tipificação
Pistola;1;41333;fev;2013;PR;DPF/FIG/PR;NI;Brasil;Outra tipificação
Pistola;1;41333;fev;2013;RJ;SR/PF/RJ;NI;Estados Unidos da América;Outra tipificação
Pistola;1;41333;fev;2013;RJ;SR/PF/RJ;NI;Não identificado;Outra tipificação
Pistola;1;41333;fev;2013;SP;DPF/SJK/SP;CACAPAVA;Não identificado;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Revólver;1;41333;fev;2013;BA;DPF/ILS/BA;ILHEUS;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41333;fev;2013;MG;SR/PF/MG;BELO HORIZONTE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41333;fev;2013;PR;DPF/CAC/PR;SAO JORGE D'OESTE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Espingarda;1;41335;mar;2013;CE;SR/PF/CE;NI;Não identificado;Outra tipificação
Pistola;2;41335;mar;2013;PR;DPF/FIG/PR;FOZ DO IGUACU;Brasil;Art. 18 Tráfico internacional de arma de fogo
Pistola;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Pistola;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Pistola;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Pistola;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Pistola;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Pistola;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Pistola;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Revólver;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Revólver;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Revólver;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Revólver;1;41337;mar;2013;ES;DPF/SMT/ES;NI;Brasil;Outra tipificação
Fuzil;1;41338;mar;2013;RJ;DPF/NIG/RJ;SEROPEDICA;Não identificado;Art. 18 Tráfico internacional de arma de fogo
